Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
"Edge of Darkness (Romantic Suspense, #20; Cincinnati, #4)",Karen      Rose (Goodreads Author),3639,2017,23,suspense,4.36
"The One You Trust (Emma Holden Suspense Mystery, #3)",Paul Pilkington (Goodreads Author),2555,2013,8,suspense,3.92
"The One You Fear (Emma Holden Suspense Mystery, #2)",Paul Pilkington (Goodreads Author),4064,2012,9,suspense,3.8
"Dirty Secrets (Romantic Suspense, #4.5)",Karen      Rose (Goodreads Author),1816,2014,8,suspense,4.09
"Death is Not Enough (Romantic Suspense, #21; Baltimore, #6)",Karen      Rose (Goodreads Author),2786,2018,21,suspense,4.31
"When Day Breaks (KEY News, #10; Sunrise Suspense Society #1)","Mary Jane Clark, 


Isabel Keating (Reading)",1700,2007,30,suspense,3.85
The Twelve Lives of Alfred Hitchcock: An Anatomy of the Master of Suspense,Edward White,332,2021,9,suspense,3.96
"Cover of Darkness (Suspense Series, #2)",Kaylea Cross (Goodreads Author),2569,2010,10,suspense,4.19
"She Belongs To Me (Southern Suspense, #1)",Carmen DeSousa (Goodreads Author),3826,2011,11,suspense,3.8
The Woods: A Suspense Thriller,Harlan Coben (Goodreads Author),92324,2007,141,suspense,4.02
"Into the Dark (Romantic Suspense, #23; Cincinnati, #5)",Karen      Rose (Goodreads Author),2817,2019,12,suspense,4.41
"Troubled Daughters, Twisted Wives: Stories from the Trailblazers of Domestic Suspense",Sarah Weinman (Editor),752,2013,2,suspense,4.06
Dead Air: A Novel of Suspense,Michael   Bradley (Goodreads Author),154,2020,5,suspense,3.56
"Wanting (PAVAD: FBI Romantic Suspense, #2)",Calle J. Brookes (Goodreads Author),1372,2012,6,suspense,4.26
The Female of the Species: Tales of Mystery and Suspense,Joyce Carol Oates,1364,2005,20,suspense,3.63
Panther's Promise (Shifter Suspense #1),Zoe Chant (Goodreads Author),829,2017,2,suspense,4.24
"Relentless (Suspense Series, #4)",Kaylea Cross (Goodreads Author),1570,2010,7,suspense,4.3
"It Only Takes a Moment (KEY News, #11; Sunrise Suspense Society #2)",Mary Jane Clark,1621,2008,28,suspense,3.74
"Absolution (Suspense Series, #5)",Kaylea Cross (Goodreads Author),1315,2010,7,suspense,4.3
Storm of Doubt (Lantern Beach Romantic Suspense #3),Christy Barritt (Goodreads Author),745,2018,2,suspense,4.52
Fear: 13 Stories of Suspense and Horror,"R.L. Stine (Goodreads Author), 


James Rollins (Goodreads Author), 


Heather Graham (Goodreads Author)",938,2010,15,suspense,3.51
"Waiting (PAVAD: FBI Romantic Suspense, #0.5)",Calle J. Brookes (Goodreads Author),1343,2015,3,suspense,4.21
Conflict and Suspense,James Scott Bell (Goodreads Author),814,2011,4,suspense,4.27
Twice Kissed,Lisa Jackson (Goodreads Author),3030,1998,18,suspense,3.88
"Black and White (The Dismal, Florida Suspense Series Book 1)",Dawn Lee McKenna (Goodreads Author),729,2019,2,suspense,4.42
"No Turning Back (Suspense Series, #3)",Kaylea Cross (Goodreads Author),1439,2010,7,suspense,4.21
Plotting and Writing Suspense Fiction,Patricia Highsmith,1131,1966,30,suspense,3.76
Recipe for Danger: A Collection of Military Romantic Suspense Books,"Cristin Harber (Goodreads Author), 


Lynn Raye Harris (Goodreads Author), 


Cynthia Eden (Goodreads Author)",271,2019,2,suspense,4.35
Women Crime Writers: Four Suspense Novels of the 1940s: Laura / The Horizontal Man / In a Lonely Place / The Blank Wall,"Sarah Weinman (Editor), 


Vera Caspary, 


Helen Eustis",271,2015,4,suspense,4.09
"Girl, Taken (Ella Dark FBI Suspense Thriller #2)",Blake Pierce (Goodreads Author),771,2021,5,suspense,3.78
What She Never Said (Santa Barbara Suspense #2),Catharine Riggs (Goodreads Author),230,2019,5,suspense,3.73
The Museum of Dr. Moses: Tales of Mystery and Suspense,Joyce Carol Oates,930,2007,17,suspense,3.4
The Sense of Death (Ann Kinnear Suspense #1),Matty Dalrymple (Goodreads Author),528,2013,5,suspense,4.07
Dark Dreams: A Collection of Horror and Suspense by Black Writers,"Brandon Massey (Goodreads Author), 


Tananarive Due (Goodreads Author), 


Zane (Goodreads Author)",352,2004,8,suspense,3.87
Tales of Suspense: Hawkeye & the Winter Soldier,"Matthew Rosenberg, 


Travel Foreman (Illustrations)",914,2018,4,suspense,4.15
"Against The Wind (Florida Sands Romantic Suspense, #1)",Virginia Kelly (Goodreads Author),446,2012,3,suspense,3.75
"The Incident: Season One - A Sam Jameson Espionage and Suspense Thriller, Episodes 1-4 (The Incident #1-4)",Lars Emmerich (Goodreads Author),415,2014,3,suspense,3.95
The Best of Mystery: 63 Short Stories Chosen by the Master of Suspense,Alfred Hitchcock (Editor),324,1980,3,suspense,4.1
Summer of Suspense: Sixteen Tales By Some of Christian Fiction's Most Popular Mystery and Suspense Authors,"Mary Alford (Goodreads Author), 


Christy Barritt (Goodreads Author), 


Patricia Bradley",410,2019,3,suspense,4.25
Tales of Terror: 58 Short Stories Chosen by the Master of Suspense,"Alfred Hitchcock (Editor), 


Eleanor Sullivan (Editor), 


Nelson DeMille (Goodreads Author)",338,1986,3,suspense,3.99
Stealing the Snow Leopard's Heart (Shifter Suspense #3),Zoe Chant (Goodreads Author),582,2018,2,suspense,4.51
DIS MEM BER and Other Stories of Mystery and Suspense,Joyce Carol Oates,674,2017,12,suspense,3.43
The October Five,Thomas Fincham,474,2009,10,suspense,4.17
The Cost of Betrayal: Three Romantic Suspense Novellas,"Dee Henderson (Goodreads Author), 


Dani Pettrey (Goodreads Author), 


Lynette Eason (Goodreads Author)",1266,2018,9,suspense,4.29
"Conflict, Action and Suspense","William Noble, 


Jack Heffron (Editor)",538,1994,3,suspense,3.84
"Sleepless Nights: 168 Thriller, Horror, Suspense, and Mystery Short Stories",Tobias Wade (Goodreads Author),243,2019,2,suspense,4.3
Nothing Good Happens After Midnight: A Suspense Magazine Anthology,"Jeffery Deaver (Goodreads Author), 


Linwood Barclay (Goodreads Author), 


Rhys Bowen (Goodreads Author)",336,2020,4,suspense,4.03
Danger and Desire: A Romantic Suspense Anthology,"Janie Crouch (Goodreads Author), 


Rachel  Grant (Goodreads Author), 


Cristin Harber (Goodreads Author)",373,2020,2,suspense,4.49
Mistaken Trust: a crime suspense thriller (Jewels Trust Book 1),Shirley Spain (Goodreads Author),341,2013,5,suspense,4.07
Wasted Pain (Ken Ross Romantic/Erotic Suspense Series Book 1),Ken  Ross (Goodreads Author),70,2019,2,suspense,2.76
Slye Temp romantic suspense series Box Set - Books 1-3 (Slye Temp #0.5-2),Dianna Love (Goodreads Author),284,2013,4,suspense,4.45
"Lion's Betrayal (Shifter Suspense, #2)",Zoe Chant (Goodreads Author),409,2017,3,suspense,4.44
"Girl, Hunted (Ella Dark FBI Suspense Thriller #3)",Blake Pierce (Goodreads Author),445,2021,3,suspense,4.06
"Second Chances (PAVAD: FBI Romantic Suspense, #3-4)",Calle J. Brookes (Goodreads Author),678,2013,6,suspense,4.32
"Hunting (PAVAD: FBI Romantic Suspense, #5)",Calle J. Brookes (Goodreads Author),600,2013,5,suspense,4.34
A Shred of Evidence (Seaport Suspense #1),Kathy Herman,457,2005,5,suspense,4.05
"A Righteous Kill (The Shakespearean Suspense, #1)",Kerrigan Byrne (Goodreads Author),596,2013,12,suspense,4.02
"Entangled Dreams (Southern Suspense, #3)",Carmen DeSousa (Goodreads Author),283,2012,8,suspense,3.67
Gingerbread Man (Nursery Rhyme Suspense #1),Lee Strauss (Goodreads Author),674,2014,8,suspense,3.85
Quarter to Midnight: Fifteen Tales of Horror and Suspense,Darcy Coates (Goodreads Author),688,2015,3,suspense,4.08
12 Steps: A Novel of Suspense,Iain Rob Wright (Goodreads Author),385,2019,2,suspense,4.2
Catalyst (Angels of Mercy Medical Suspense Book 2),C.J. Lyons (Goodreads Author),640,2009,12,suspense,4.1
"Poe: 19 New Tales of Suspense, Dark Fantasy, and Horror Inspired by Edgar Allan Poe","Ellen Datlow (Goodreads Author) (Editor), 


Kim Newman, 


Pat Cadigan (Goodreads Author)",269,2008,6,suspense,3.84
"Hot Pursuit (Romantic Suspense, #4.5)","Karen      Rose (Goodreads Author), 


Carla Cassidy (Goodreads Author), 


Annie Solomon",187,2005,2,suspense,3.95
Sins of the Past: A Romantic Suspense Novella Collection,"Dee Henderson (Goodreads Author), 


Dani Pettrey (Goodreads Author), 


Lynette Eason (Goodreads Author)",1756,2016,8,suspense,4.21
"Stalking (PAVAD: FBI Romantic Suspense, #8.5)",Calle J. Brookes (Goodreads Author),512,2014,5,suspense,4.06
"Beginning (PAVAD: FBI Romantic Suspense, #0.25)",Calle J. Brookes (Goodreads Author),707,2015,5,suspense,3.96
"Running (PAVAD: FBI Romantic Suspense, #6)",Calle J. Brookes (Goodreads Author),527,2013,5,suspense,4.22
"Unveiling Love: Episode I (A London Regency Romantic Suspense Tale, #1)",Vanessa Riley (Goodreads Author),183,2016,3,suspense,3.16
"Death On The New Moon (Book #3 in the Amazon #1 bestselling ""Hanna and Alex"" suspense thriller series.)",Michael Lindley (Goodreads Author),603,2019,7,suspense,4.53
Abducting Casey,Cheryl Yeko (Goodreads Author),336,2013,4,suspense,3.92
How to Read Literature Like a Professor,Thomas C. Foster,26502,2003,50,literature,3.64
"The Norton Anthology of English Literature, Volume 1: The Middle Ages through the Restoration & the Eighteenth Century","M.H. Abrams (Founding Editor), 


Stephen Greenblatt (General Editor)",8994,1962,37,literature,4.22
Of Literature and Lattes (Winsome #2),Katherine Reay (Goodreads Author),2501,2020,2,literature,3.67
Anne Frank: The Diary of a Young Girl (Literature Guide: Grades 4-8),Scholastic Inc.,7960,1999,2,literature,4.21
Mimesis: The Representation of Reality in Western Literature,"Erich Auerbach, 


Willard R. Trask (Translator), 


Edward W. Said (Introduction)",3240,1942,58,literature,4.26
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,1863,1981,21,literature,4.33
The Rabbit Back Literature Society,"Pasi Ilmari Jääskeläinen (Goodreads Author), 


Lola Rogers (Goodreads Author) (Translator)",5671,2006,37,literature,3.5
Nazi Literature in the Americas,Roberto Bolaño,5237,1996,49,literature,3.88
On Literature,"Umberto Eco, 


Martin L. McLaughlin (Translator)",2096,2002,44,literature,3.96
Lectures on Literature,"Vladimir Nabokov, 


Fredson Bowers (Editor), 


John Updike (Introduction)",2114,1980,38,literature,4.34
Wild Things: The Joy of Reading Children's Literature as an Adult,Bruce Handy,1638,2017,11,literature,3.74
The Discarded Image: An Introduction to Medieval and Renaissance Literature,C.S. Lewis,2201,1964,36,literature,4.25
"Nervous System: Or, Losing My Mind in Literature",Jan Lars Jensen,356,2004,3,literature,3.61
The Complete Harvard Classics - ALL 71 Volumes: The Five Foot Shelf & The Shelf of Fiction: The Famous Anthology of the Greatest Works of World Literature,"Charles William Eliot (Editor), 


Joseph Addison, 


Aeschylus",232,1722,27,literature,4.32
"The Norton Anthology of English Literature, Volume 2: The Romantic Period through the Twentieth Century","M.H. Abrams (Founding Editor), 


Stephen Greenblatt (editor), 


James Simpson (Editor)",3412,1962,43,literature,4.23
Wonderworks: The 25 Most Powerful Inventions in the History of Literature,Angus  Fletcher (Goodreads Author),272,2021,9,literature,4.01
"Reading Behind Bars: A True Story of Literature, Law, and Life as a Prison Librarian",Jill Grunenwald,1294,2019,6,literature,3.56
A Little History of Literature,John Sutherland,1548,2013,16,literature,3.89
"Skin: Talking about Sex, Class and Literature",Dorothy Allison,2253,1994,14,literature,4.23
The New Lifetime Reading Plan: The Classic Guide to World Literature,"Clifton Fadiman, 


John S. Major",876,1960,9,literature,3.94
How to Read Literature,Terry Eagleton,1739,2013,24,literature,3.67
Lectures on Russian Literature,Vladimir Nabokov,1651,1981,44,literature,4.27
"The New Testament in Its World: An Introduction to the History, Literature, and Theology of the First Christians","N.T. Wright, 


Michael F. Bird",308,2019,8,literature,4.48
For Whom the Bell Tolls (Sparknotes Literature Guides),SparkNotes,3417,2003,4,literature,3.95
Kafka: Toward a Minor Literature,"Gilles Deleuze, 


Félix Guattari, 


Dana Polan (Translator)",1583,1975,34,literature,4.14
Literature and Evil,"Georges Bataille, 


Alastair Hamilton (Translator)",1113,1957,45,literature,4.01
Marxism and Literature,Raymond Williams,1573,1977,11,literature,4.08
Culture Wars in British Literature: Multiculturalism and National Identity,Tracy J. Prince (Goodreads Author),49,2011,5,literature,4.27
How Literature Saved My Life,David Shields (Goodreads Author),814,2013,10,literature,3.34
Black Water: The Book of Fantastic Literature,"Alberto Manguel (Goodreads Author) (Editor), 


Julio Cortázar (Contributor), 


Max Beerbohm (Contributor)",512,1984,7,literature,4.34
On Stories: And Other Essays on Literature,"C.S. Lewis, 


Walter Hooper (Preface by)",1097,1981,20,literature,4.28
The Uses of Literature,"Italo Calvino, 


Patrick Creagh (Translator)",1042,1980,25,literature,4.06
Supernatural Horror in Literature,"H.P. Lovecraft, 


Theodore Menten (cover), 


E.F. Bleiler (Introduction)",1878,1927,501,literature,4.05
"How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics",N. Katherine Hayles,766,1999,8,literature,4.04
The Bohemians: Mark Twain and the San Francisco Writers Who Reinvented American Literature,Ben Tarnoff (Goodreads Author),641,2014,5,literature,3.8
The Space of Literature,Maurice Blanchot,721,1955,23,literature,4.32
The Norton Anthology of African American Literature,Nellie Y. McKay,1117,1996,9,literature,4.38
What is Literature?,"Jean-Paul Sartre, 


Bernard Frechtman (Translator)",1240,1948,68,literature,3.68
Booked: Literature in the Soul of Me,Karen Swallow Prior,609,2012,3,literature,4.25
Seduction and Betrayal: Women and Literature,"Elizabeth Hardwick, 


Joan Didion (Introduction)",400,1974,13,literature,3.97
The Christian Imagination: The Practice of Faith in Literature and Writing,Leland Ryken (Editor),454,1981,5,literature,4.35
Inseparable: Desire Between Women in Literature,Emma Donoghue (Goodreads Author),358,2010,6,literature,4.01
"Au Revoir, Tristesse: Lessons in Happiness from French Literature",Viv Groskop (Goodreads Author),155,2020,4,literature,3.73
Desire in Language: A Semiotic Approach to Literature and Art,"Julia Kristeva, 


Leon S. Roudiez (Editor)",454,1980,4,literature,4.02
The Great Code: The Bible and Literature,Northrop Frye,487,1981,25,literature,4.08
100 Eternal Masterpieces of Literature - volume 2,"Various, 


Stendhal, 


Rabindranath Tagore",79,2017,2,literature,3.9
"The World Broke in Two: Virginia Woolf, T.S. Eliot, D.H. Lawrence, E.M. Forster and the Year that Changed Literature",Bill Goldstein,466,2017,9,literature,3.76
Not Just Jane: Rediscovering Seven Amazing Women Writers Who Transformed British Literature,Shelley DeWees (Goodreads Author),398,2016,3,literature,3.81
By the Book: Writers on Literature and the Literary Life from the New York Times Book Review,"Pamela Paul (Goodreads Author) (Editor), 


Scott Turow (Goodreads Author) (Foreword)",817,2014,5,literature,3.77
"Was the Cat in the Hat Black?: The Hidden Racism of Children's Literature, and the Need for Diverse Books",Philip Nel (Goodreads Author),351,2017,4,literature,4.12
Anthology of Japanese Literature: From the Earliest Era to the Mid-Nineteenth Century,"Donald Keene (Editor), 


Ki no Tsurayuki (Contributor), 


Matsuo Bashō (Contributor)",573,1955,22,literature,4.02
Between Men: English Literature and Male Homosocial Desire,"Eve Kosofsky Sedgwick (Foreword), 


Nancy K. Miller (Goodreads Author) (Editor), 


Carolyn G. Heilbrun (Editor)",537,1985,6,literature,4.1
The Maximum Security Book Club: Reading Literature in a Men's Prison,Mikita Brottman,889,2016,8,literature,3.12
"The Spirit in Man, Art and Literature (Collected Works 15)","C.G. Jung, 


Gerhard Adler (Editor), 


R.F.C. Hull (Translator)",472,1941,25,literature,4.27
"The Norton Anthology of English Literature, Vol. B: The Sixteenth Century & The Early Seventeenth Century","M.H. Abrams (Founding Editor), 


Stephen Greenblatt (General Editor), 


George M. Logan (editor)",1186,1986,6,literature,4.05
Chloe Plus Olivia: An Anthology of Lesbian Literature from the Seventeenth Century to the Present,"Lillian Faderman (Goodreads Author) (Editor), 


Sarah Ponsonby, 


Anna Seward",338,1994,3,literature,4.02
Wild Things! Acts of Mischief in Children's Literature,"Betsy Bird (Goodreads Author), 


Julie Danielson, 


Peter Sieruta",566,2014,5,literature,3.99
Why We Write About Ourselves: Twenty Memoirists on Why They Expose Themselves (and Others) in the Name of Literature,Meredith Maran (Goodreads Author) (Editor),589,2016,2,literature,3.89
Fictitious Dishes: An Album of Literature's Most Memorable Meals,Dinah Fried,899,2014,3,literature,3.65
"The Lost Art of Walking: The History, Science, and Literature of Pedestrianism",Geoff Nicholson,681,2008,17,literature,3.25
A Literature of Their Own: British Women Novelists From Brontë to Lessing,Elaine Showalter,552,1976,9,literature,4.05
The Liberal Imagination: Essays on Literature and Society,Lionel Trilling,399,1950,12,literature,3.98
Barlowe's Guide to Extraterrestrials: Great Aliens from Science Fiction Literature,"Wayne Barlowe, 


Beth Meacham, 


Ian Summers",1062,1979,7,literature,4.14
Survival: A Thematic Guide to Canadian Literature,Margaret Atwood (Goodreads Author),854,1972,13,literature,3.85
Beowulf on the Beach: What to Love and What to Skip in Literature's 50 Greatest Hits,Jack Murnighan (Goodreads Author),635,2009,5,literature,3.59
"The Yoga Tradition: Its History, Literature, Philosophy and Practice",Georg Feuerstein,501,1998,9,literature,4.15
"The Penguin Book of Migration Literature: Departures, Arrivals, Generations, Returns","Dohra Ahmad (Editor), 


Edwidge Danticat (Foreword)",168,2019,4,literature,4.27
"The Dehumanization of Art and Other Essays on Art, Culture and Literature",José Ortega y Gasset,828,1925,36,literature,3.86
Sovereign Erotics: A Collection of Two-Spirit Literature,"Qwo-Li Driskill (Goodreads Author) (Editor), 


Daniel Heath Justice (Goodreads Author) (Editor), 


Lisa Tatonetti (Editor)",186,2011,5,literature,4.33
A Celtic Miscellany: Translations from the Celtic Literatures,Kenneth Hurlstone Jackson (Translator),551,1951,7,literature,3.98
Those Barren Leaves (Coleman Dowell Literature Series),Aldous Huxley,663,1925,65,literature,3.57
Thug Notes: A Street-Smart Guide to Classic Literature,"Sparky Sweets (Goodreads Author), 


Wisecrack, Inc.",486,2015,5,literature,3.94
"Touch Magic: Fantasy, Faerie & Folklore in the Literature of Childhood",Jane Yolen (Goodreads Author),392,1981,5,literature,4.12
The Anatomy of Influence: Literature as a Way of Life,Harold Bloom,432,2011,9,literature,3.92
Why Indigenous Literatures Matter,Daniel Heath Justice (Goodreads Author),211,2018,3,literature,4.63
Literature and Revolution,"Leon Trotsky, 


William Keach (Editor), 


Rose Strunsky (Translator)",328,1924,27,literature,3.88
"Reading the Romance: Women, Patriarchy, and Popular Literature",Janice A. Radway,501,1984,11,literature,3.77
Philippine Literature: Through The Years,Alicia Hernandez-Kahayon,361,2000,2,literature,3.96
The Empire Writes Back: Theory and Practice in Post-Colonial Literatures,"Bill Ashcroft, 


Gareth Griffiths, 


Helen Tiffin",508,1989,16,literature,3.74
Axel's Castle: A Study of the Imaginative Literature of 1870-1930,"Edmund Wilson, 


Mary Gordon (Introduction)",404,1931,29,literature,4.08
How to Read Literature Like a Professor: For Kids,Thomas C. Foster,742,2013,7,literature,3.71
Questions of Character: Illuminating the Heart of Leadership Through Literature,Joseph L. Badaracco Jr.,316,2006,2,literature,3.93
Patriotic Gore: Studies in the Literature of the American Civil War,Edmund Wilson,254,1962,15,literature,4.1
"Echoes of Eden: Reflections on Christianity, Literature, and the Arts",Jerram Barrs,414,2013,5,literature,4.06
Don't Tell the Grown-Ups: The Subversive Power of Children's Literature,Alison Lurie,339,1990,9,literature,3.73
Inspirations: Selections from Classic Literature,"Paulo Coelho (Goodreads Author) (Selection, Preface)",403,2010,4,literature,3.57
A Greek-English Lexicon of the New Testament & Other Early Christian Literature,"Walter Bauer, 


Frederick W. Danker, 


Frederick William Danker (Editor)",869,1928,8,literature,4.56
The Nimrod Flipout,"Etgar Keret (Goodreads Author), 


Institute for Translation of Hebrew Literature",4921,2002,44,literature,3.95
Love's Knowledge: Essays on Philosophy and Literature,Martha C. Nussbaum,200,1990,12,literature,4.15
South Toward Home: Travels in Southern Literature,Margaret Eby,340,2015,5,literature,3.77
Studies in Classic American Literature,D.H. Lawrence,473,1923,73,literature,4.08
Hope Is the Last to Die: A Coming of Age Under Nazi Terror : A Classic of Holocaust Literature,Halina Birenbaum,577,1967,16,literature,4.5
The Broken Estate: Essays on Literature and Belief,James  Wood,378,1999,11,literature,4.1
Love in a Dark Time: and Other Explorations of Gay Lives and Literature,Colm Tóibín,433,2002,12,literature,3.79
"The Norton Anthology of English Literature, Vol. A: Middle Ages","M.H. Abrams (Founding Editor), 


Stephen Greenblatt (General Editor), 


James Simpson",754,1999,7,literature,3.96
Krylov's Fables,"Ivan Krylov, 


Иван Андреевич Крылов",1059,1869,83,literature,4.11
Existentialists and Mystics: Writings on Philosophy and Literature,"Iris Murdoch, 


George Steiner (Foreword), 


Peter J. Conradi (Editor)",228,1997,11,literature,4.12
Professor Borges: A Course on English Literature,"Jorge Luis Borges, 


Katherine Silver (Translator), 


Martín Arias (Editor)",389,2000,10,literature,4.4
The Norton Anthology of American Literature: Volumes A & B,"Judith Tanka, 


Max Franklin, 


Arnold Krupat",796,1979,3,literature,4.18
Invaders: 22 Tales from the Outer Limits of Literature,"Jacob Weisman (Editor), 


Jim Shepard, 


W.P. Kinsella",255,2016,4,literature,3.58
Extraordinary Bodies: Figuring Physical Disability in American Culture and Literature,Rosemarie Garland-Thomson,245,1996,7,literature,4.16
"The Norton Anthology of English Literature, Vol. E: The Victorian Age","M.H. Abrams (Founding Editor), 


Stephen Greenblatt (General Editor), 


Catherine Robson",722,1999,5,literature,4.02
Heroes and Legends: The Most Influential Characters of Literature,Thomas A. Shippey,577,2014,4,literature,3.93
Algorithms to Live By: The Computer Science of Human Decisions,"Brian Christian (Goodreads Author), 


Tom  Griffiths (Goodreads Author)",24399,2016,3,computers,4.12
"iWoz: Computer Geek to Cult Icon: How I Invented the Personal Computer, Co-Founded Apple, and Had Fun Doing It","Steve Wozniak, 


Gina Smith",18181,2006,38,computers,3.79
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,7730,1999,22,computers,4.39
The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,Clifford Stoll,11291,1989,31,computers,4.25
Hackers: Heroes of the Computer Revolution,Steven Levy (Goodreads Author),7499,1984,35,computers,4.14
Structure and Interpretation of Computer Programs,"Harold Abelson, 


Gerald Jay Sussman, 


Julie Sussman",4389,1984,24,computers,4.47
Hackers & Painters: Big Ideas from the Computer Age,"Paul    Graham, 


Allen Noren (Editor), 


Matt Hutchinson (Editor)",8491,2004,18,computers,4.06
"The Emperor's New Mind: Concerning Computers, Minds and the Laws of Physics","Roger Penrose, 


Martin Gardner",6584,1989,50,computers,3.89
The Most Human Human: What Talking with Computers Teaches Us About What It Means to Be Alive,Brian Christian (Goodreads Author),4232,2011,22,computers,3.93
The Age of Spiritual Machines: When Computers Exceed Human Intelligence,Ray Kurzweil,4147,1998,34,computers,3.9
"The Art of Computer Programming, Volume 1: Fundamental Algorithms",Donald Ervin Knuth,1773,1973,17,computers,4.37
Concrete Mathematics: A Foundation for Computer Science,"Ronald L. Graham, 


Donald Ervin Knuth, 


Oren Patashnik",1791,1988,11,computers,4.33
Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,2007,1999,14,computers,4.13
Computer Networks,Andrew S. Tanenbaum,2184,1981,56,computers,4.1
Computer Fundamentals and Programming in C,Reema Thareja,500,2012,2,computers,4.1
"Automation, Production Systems, and Computer-Integrated Manufacturing",Mikell P. Groover,528,1980,19,computers,4.17
Programming the Universe: A Quantum Computer Scientist Takes on the Cosmos,Seth Lloyd,1965,2006,17,computers,4.02
The Glass Cage: How Our Computers Are Changing Us,Nicholas Carr (Goodreads Author),2020,2014,32,computers,3.75
Fire in the Valley: The Making of the Personal Computer,"Paul Freiberger (Goodreads Author), 


Michael Swaine",1198,1984,7,computers,4.15
Computer Architecture and Organization,John P.  Hayes,426,1988,9,computers,3.89
Computer Networking: A Top-Down Approach,"James F. Kurose, 


Keith W. Ross",1906,2000,71,computers,4.05
The Psychology of Computer Programming,Gerald M. Weinberg,550,1971,10,computers,4.08
What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,John Markoff,1049,2005,9,computers,3.82
Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers,John    MacCormick (Goodreads Author),1407,2012,17,computers,3.87
"Mindstorms: Children, Computers, And Powerful Ideas",Seymour Papert,709,1980,12,computers,4.32
Sid Meier's Memoir!: A Life in Computer Games,Sid Meier,1214,2020,12,computers,4.17
"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,1941,1996,6,computers,3.9
Computer Systems: A Programmer's Perspective,"Randal E. Bryant, 


David R. O'Hallaron",872,2002,27,computers,4.43
"The Fourth Age: Smart Robots, Conscious Computers, and the Future of Humanity",Byron Reese,798,2018,11,computers,4.03
The Computer and the Brain,"John von Neumann, 


Paul M. Churchland (Foreword by), 


Patricia S. Churchland (Foreword by)",589,1958,18,computers,3.86
"Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything",Steven Levy (Goodreads Author),1183,1993,8,computers,3.98
The Man Who Knew Too Much: Alan Turing and the Invention of the Computer,David Leavitt,1221,2006,23,computers,3.47
"The Art of Computer Programming, Volume 2: Seminumerical Algorithms",Donald Ervin Knuth,501,1969,12,computers,4.41
The Art of Computer Programming: Volume 3: Sorting and Searching,Donald Ervin Knuth,490,1973,14,computers,4.4
"The Digital Doctor: Hope, Hype, and Harm at the Dawn of Medicine's Computer Age",Robert M. Wachter,888,2015,5,computers,4.16
Why I Am Not Going to Buy a Computer,Wendell Berry,952,1987,6,computers,3.63
But How Do It Know? - The Basic Principles of Computers for Everyone,J. Clark Scott,666,2009,2,computers,4.44
Computer Organization & Design: The Hardware/Software Interface,"David A. Patterson, 


John L. Hennessy",1570,1993,52,computers,3.96
Artificial Unintelligence: How Computers Misunderstand the World,Meredith Broussard (Goodreads Author),492,2018,12,computers,3.84
The Design of Design: Essays from a Computer Scientist,Frederick P. Brooks Jr.,578,2010,9,computers,3.76
Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,Stewart Brand,704,1999,13,computers,4.09
"Concepts, Techniques, and Models of Computer Programming","Peter Van Roy, 


Seif Haridi",241,2004,3,computers,4.12
Grace Hopper: Queen of Computer Code,"Laurie Wallmark (Goodreads Author), 


Katy Wu (Illustrator)",999,2017,3,computers,4.39
Cyberpunk: Outlaws and Hackers on the Computer Frontier,"Katie Hafner (Goodreads Author), 


John Markoff",773,1991,9,computers,3.83
The Computer Connection,Alfred Bester,1089,1975,20,computers,3.47
Racing the Beam: The Atari Video Computer System,"Nick Montfort, 


Ian Bogost",708,2009,6,computers,4.07
A History of Pictures: From the Cave to the Computer Screen,"David Hockney, 


Martin Gayford",409,2016,16,computers,4.38
"Python Programming for Beginners: An Introduction to the Python Computer Language and Computer Programming (Python, Python 3, Python Tutorial)",Jason Cannon (Goodreads Author),223,2014,4,computers,3.9
Software Engineering (International Computer Science Series),Ian Sommerville,861,1982,54,computers,3.78
Computer System Architecture,M. Morris Mano,364,1976,15,computers,3.83
"The Mysterious Affair at Olivetti: IBM, the CIA, and the Cold War Conspiracy to Shut Down Production of the World's First Desktop Computer",Meryle Secrest,145,2019,6,computers,3.3
"Music Theory for Computer Musicians (Computer Musicians, #1)",Michael Hewitt,341,2008,4,computers,4.26
Discrete Mathematical Structures with Applications to Computer Science,"Jean-Paul Tremblay, 


R. Manohar",154,1975,2,computers,3.86
Systems Programming (McGraw-Hill computer science series),John J. Donovan (Goodreads Author),161,1972,4,computers,3.8
What Computers Still Can't Do: A Critique of Artificial Reason,Hubert L. Dreyfus,186,1972,4,computers,4.18
