Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
"Doing Harm: The Truth About How Bad Medicine and Lazy Science Leave Women Dismissed, Misdiagnosed, and Sick",Maya Dusenbery,1651,2018,9,science,4.19
The Fabric of Reality: The Science of Parallel Universes--and Its Implications,David Deutsch,4543,1996,19,science,4.13
"The Science Fiction Hall of Fame, Volume One, 1929-1964","Robert Silverberg (Editor), 


Isaac Asimov (Contributor), 


Lester del Rey (Contributor)",5410,1970,29,science,4.34
"Remedial Rocket Science (Chemistry Lessons, #1)",Susannah Nix (Goodreads Author),6195,2017,5,science,3.65
"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success","Brad Stulberg (Goodreads Author), 


Steve Magness (Goodreads Author)",5964,2017,22,science,4.18
Pandora's Lab: Seven Stories of Science Gone Wrong,Paul A. Offit,5156,2017,14,science,4.17
An Elegant Defense: The Extraordinary New Science of the Immune System: A Tale in Four Lives,Matt Richtel,3495,2019,23,science,4.05
The Self-Driven Child: The Science and Sense of Giving Your Kids More Control Over Their Lives,"William Stixrud, 


Ned Johnson",3608,2018,11,science,4.37
"How Not to Diet: The Groundbreaking Science of Healthy, Permanent Weight Loss",Michael  Greger (Goodreads Author),4448,2019,18,science,4.47
The Rise of Superman: Decoding the Science of Ultimate Human Performance,Steven Kotler (Goodreads Author),4337,2014,17,science,3.91
"The Manhattan Projects, Vol. 1: Science. Bad.","Jonathan Hickman (Writer), 


Nick Pitarra (Artist), 


Jordie Bellaire (Goodreads Author) (Colourist)",7633,2012,13,science,3.88
Invisible Planets: Contemporary Chinese Science Fiction in Translation,"Ken Liu (Goodreads Author) (Editor, Translator), 


Chen Qiufan, 


Xia Jia",3535,2016,17,science,4.05
Wired for Story: The Writer's Guide to Using Brain Science to Hook Readers from the Very First Sentence,Lisa Cron (Goodreads Author),4080,2012,2,science,4.21
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4790,2006,38,science,4.12
This Is Where You Belong: The Art and Science of Loving the Place You Live,Melody Warnick (Goodreads Author),3815,2016,15,science,3.68
"The Body Book: The Law of Hunger, the Science of Strength, and Other Ways to Love Your Amazing Body",Cameron Díaz,7436,2013,37,science,3.74
"Beyond the Body Farm: A Legendary Bone Detective Explores Murders, Mysteries, and the Revolution in Forensic Science","William M. Bass, 


Jon Jefferson (Goodreads Author)",6583,2004,28,science,4.24
Captivate: The Science of Succeeding with People,Vanessa Van Edwards (Goodreads Author),4107,2017,27,science,4.15
How to Survive a Plague: The Inside Story of How Citizens and Science Tamed AIDS,David France,3000,2013,19,science,4.43
"Black Science, Vol. 1: How to Fall Forever","Rick Remender, 


Matteo Scalera (Artist), 


Dean White (Colorist), 


Moreno Dinisio (Illustrator)",7819,2014,16,science,3.89
"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body","Daniel Goleman (Goodreads Author), 


Richard J. Davidson",3411,2017,32,science,3.91
Soft Science,Franny Choi,2056,2019,4,science,4.05
slide:ology: The Art and Science of Creating Great Presentations,Nancy Duarte (Goodreads Author),6646,2008,25,science,4.08
"Primates: The Fearless Science of Jane Goodall, Dian Fossey, and Biruté Galdikas","Jim Ottaviani (Goodreads Author), 


Maris Wicks",6676,2013,9,science,3.84
"Hardwiring Happiness: The New Brain Science of Contentment, Calm, and Confidence",Rick Hanson (Goodreads Author),3703,2013,29,science,3.66
"Fatal Invention: How Science, Politics, and Big Business Re-create Race in the Twenty-First Century",Dorothy Roberts,1191,2011,8,science,4.31
Endless Forms Most Beautiful: The New Science of Evo Devo and the Making of the Animal Kingdom,"Sean B. Carroll, 


Jamie W. Carroll (Illustrator), 


Josh P. Klaiss (Illustrator)",5334,2005,31,science,4.07
"Good Habits, Bad Habits: The Science of Making Positive Changes That Stick",Wendy Wood,1808,2019,25,science,3.76
"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life",Albert-László Barabási (Goodreads Author),4779,2002,28,science,3.94
Toms River: A Story of Science and Salvation,Dan Fagin (Goodreads Author),3851,2013,11,science,4.08
"The Secret Wisdom of Nature: Trees, Animals, and the Extraordinary Balance of All Living Things ― Stories from Science and Observation",Peter Wohlleben,3280,2017,46,science,4.05
The Laws of Medicine: Field Notes from an Uncertain Science,Siddhartha Mukherjee,3623,2015,27,science,4.05
Unstoppable: Harnessing Science to Change the World,Bill Nye,3391,2015,11,science,4.16
"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson (Goodreads Author),89322,2007,80,sports,4.15
"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else","Daniel Coyle (Goodreads Author), 


John Farrell (Read by)",22843,2009,4,sports,4.02
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,32821,2009,7,sports,4.19
The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein (Goodreads Author),12385,2013,33,sports,4.2
Rich Prick: A Shy Girl Bad Boy Sports Romance,Tijan (Goodreads Author),11793,2020,5,sports,4.1
"Now I Can Die in Peace: How ESPN's Sports Guy Found Salvation, with a Little Help from Nomar, Pedro, Shawshank and the 2004",Bill Simmons,8317,2005,3,sports,3.91
Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,"Tobias J. Moskowitz, 


L. Jon Wertheim (Goodreads Author)",5287,2011,11,sports,3.81
"Last Shot: A Final Four Mystery (The Sports Beat, #1)",John Feinstein,4993,2005,19,sports,4.06
"Fair Catch (Love and Sports, #1)",Meghan Quinn (Goodreads Author),2897,2013,2,sports,3.78
"Game of Shadows: Barry Bonds, Balco, and the Steroids Scandal That Rocked Professional Sports","Mark Fainaru-Wada, 


Lance Williams",5421,2006,12,sports,3.82
Team Player 2: A Sports Anthology,"Charleigh Rose (Goodreads Author), 


Ella Fox (Goodreads Author), 


Emma   Scott (Goodreads Author)",1356,2019,3,sports,4.36
Marathon Woman: Running the Race to Revolutionize Women's Sports,Kathrine Switzer,1895,2007,12,sports,4.18
The Arm: Inside the Billion-Dollar Mystery of the Most Valuable Commodity in Sports,Jeff Passan,3018,2016,9,sports,4.19
"Fear and Loathing in La Liga: Barcelona, Real Madrid, and the World's Greatest Sports Rivalry",Sid Lowe,1916,2012,3,sports,4.31
"Wheelmen: Lance Armstrong, the Tour de France, and the Greatest Sports Conspiracy Ever","Reed Albergotti, 


Vanessa O'Connell (Goodreads Author)",3214,2013,17,sports,4.04
"Hey Rube: Blood Sport, the Bush Doctrine, and the Downward Spiral of Dumbness: Modern History from the ESPN.com Sports Desk","Hunter S. Thompson, 


John A. Walsh (Foreword)",2578,2004,15,sports,3.68
"The Club: How the English Premier League Became the Wildest, Richest, Most Disruptive Force in Sports","Joshua  Robinson, 


Jonathan Clegg",2221,2018,16,sports,4.34
"Bad Reputation (Bad Boys of Sports, #1)",Nicole Edwards (Goodreads Author),1449,2017,3,sports,3.95
"You Can't Make This Up: Miracles, Memories, and the Perfect Marriage of Sports and Television","Al Michaels, 


L. Jon Wertheim (Goodreads Author)",2413,2014,18,sports,3.89
Red Card: How the U.S. Blew the Whistle on the World's Biggest Sports Scandal,Ken Bensinger (Goodreads Author),1147,2018,15,sports,4.09
"Cover-Up: Mystery at the Super Bowl (The Sports Beat, #3)",John Feinstein,2099,2007,15,sports,4.16
"The Play (Brit Boys Sports, #1)",J.H. Croix (Goodreads Author),1632,2017,5,sports,3.95
"You Win in the Locker Room First: The 7 C's to Build a Winning Team in Business, Sports, and Life","Jon Gordon, 


Mike Smith",1286,2015,8,sports,4.16
How Champions Think: In Sports and in Life,"Bob Rotella, 


Bob Cullen (Contributor)",1259,2015,9,sports,4.14
"God Save the Fan: How Preening Sportscasters, Athletes Who Speak in the Third Person, and the Occasional Convicted Quarterback Have Taken the Fun Out of Sports",Will Leitch (Goodreads Author),1667,2008,9,sports,3.72
"Double Coverage (Love and Sports, #2)",Meghan Quinn (Goodreads Author),1630,2014,3,sports,4.01
The Sportswriter,Richard Ford,17565,1986,59,sports,3.7
Loving Sports When They Don't Love You Back: Dilemmas of the Modern Fan,"Jessica Luther (Goodreads Author), 


Kavitha Davidson",333,2020,5,sports,4.19
Tanking to the Top: The Philadelphia 76ers and the Most Audacious Process in the History of Professional Sports,Yaron Weitzman,750,2020,8,sports,4.17
The Matheny Manifesto: A Young Manager's Old-School Views on Success in Sports and Life,"Mike Matheny, 


Jerry B. Jenkins (Goodreads Author)",1416,2015,5,sports,4.27
"Three and Out (Love and Sports, #3)",Meghan Quinn (Goodreads Author),1349,2014,3,sports,4.19
"Out of Bounds (Love of Sports, #1)",T.A. Chase (Goodreads Author),1363,2008,4,sports,3.64
Women In Sports: 50 Fearless Athletes Who Played to Win,Rachel Ignotofsky,660,2017,19,sports,4.37
"Naughty Wish (Brit Boys Sports, #5)",J.H. Croix (Goodreads Author),754,2017,5,sports,4.05
"Rush for the Gold: Mystery at the Olympics (The Sports Beat, #6)",John Feinstein,1360,2012,8,sports,4.07
"Change-up: Mystery at the World Series (The Sports Beat, #4)",John Feinstein,1392,2009,11,sports,4.15
"The Rivalry: Mystery at the Army-Navy Game (The Sports Beat, #5)",John Feinstein,1022,2010,11,sports,3.98
"Sidelined: Sports, Culture, and Being a Woman in America",Julie Dicaro (Goodreads Author),284,2021,3,sports,4.12
"Bad Business (Bad Boys of Sports, #2)",Nicole Edwards (Goodreads Author),722,2018,2,sports,4.11
"Faster, Higher, Stronger: How Sports Science Is Creating a New Generation of Superathletes—and What We Can Learn from Them",Mark McClusky (Goodreads Author),635,2015,8,sports,3.98
"Play Me (Brit Boys Sports, #4)",J.H. Croix (Goodreads Author),707,2017,4,sports,4.14
"Vanishing Act: Mystery at the U.S. Open (The Sports Beat, #2)",John Feinstein,1076,2006,15,sports,4.07
"Big Win (Brit Boys Sports, #2)",J.H. Croix (Goodreads Author),825,2017,5,sports,4.11
Ball Four (RosettaBooks Sports Classics),Jim Bouton,17765,1970,31,sports,4.03
"This Is Your Brain on Sports: The Science of Underdogs, the Value of Rivalry, and What We Can Learn from the T-Shirt Cannon","L. Jon Wertheim (Goodreads Author), 


Sam Sommers (Goodreads Author)",509,2016,6,sports,3.83
Sports Illustrated: The Basketball Book,Sports Illustrated,183,2007,2,sports,4.27
56: Joe DiMaggio and the Last Magic Number in Sports,Kostya Kennedy,1047,2011,7,sports,4.01
"High Line (Love of Sports, #2)",T.A. Chase (Goodreads Author),1022,2009,4,sports,3.83
"The Road to Excellence: The Acquisition of Expert Performance in the Arts and Sciences, Sports, and Games",K. Anders Ericsson (Editor),68,1996,8,sports,3.91
A Well-Paid Slave: Curt Flood's Fight for Free Agency in Professional Sports,Brad  Snyder (Goodreads Author),642,2006,7,sports,4.12
Sports Illustrated The Baseball Book,Sports Illustrated,241,1960,9,sports,4.3
"What's My Name, Fool? Sports and Resistance in the United States",Dave Zirin,528,2005,6,sports,3.96
Upon Further Review: The Greatest What-Ifs in Sports History,"Mike Pesca (Editor), 


Malcolm Gladwell (Foreword), 


Leigh Montville (Contributor)",368,2018,8,sports,3.44
Blood Sports,Eden Robinson,413,2006,3,sports,3.51
Nancy Clark's Sports Nutrition Guidebook,Nancy Clark,771,1989,22,sports,4.07
Sports et divertissements,Jean-Philippe Baril Guérard (Goodreads Author),657,2014,5,sports,3.83
"Samantha the Swimming Fairy (The Sports Fairies, #5)","Daisy Meadows, 


Georgie Ripper",551,2008,11,sports,4.06
"Stacey The Soccer Fairy (Sports Fairies, #2)","Daisy Meadows, 


Georgie Ripper (Illustrator)",492,2010,10,sports,4.01
"A People's History of Sports in the United States: 250 Years of Politics, Protest, People, and Play",Dave Zirin,397,2008,5,sports,3.91
"His Convenient Husband (Love and Sports, #1)",Robin Covington (Goodreads Author),537,2017,5,sports,3.6
"Always More (Sports, #1)",Nicole Pyland (Goodreads Author),440,2020,3,sports,4.32
"Phantoms Don't Drive Sports Cars (The Adventures of the Bailey School Kids, #32)","Debbie Dadey (Goodreads Author), 


Marcia Thornton Jones (Goodreads Author), 


John Steven Gurney (Goodreads Author) (Illustrations)",427,1998,5,sports,3.77
"Sports Illustrated PACKERS: Green, Gold and Glory",Sports Illustrated (Creator),49,2013,2,sports,4.16
"Mathletics: How Gamblers, Managers, and Sports Enthusiasts Use Mathematics in Baseball, Basketball, and Football",Wayne L. Winston,348,2009,8,sports,3.73
NASM Essentials of Personal Fitness Training,National Academy of Sports Medicine,321,2007,7,sports,4.17
The Junior: An Enemies to Lovers Sports Romance (College Years Book 3),Monica  Murphy (Goodreads Author),800,2021,2,sports,4.26
The Sports Pages,"Jon Scieszka (Editor), 


Dustin Brown, 


Joseph Bruchac",446,2012,9,sports,3.8
"Brittany The Basketball Fairy (Sports Fairies, #4)","Daisy Meadows, 


Georgie Ripper (Illustrator)",420,2008,10,sports,3.97
Fantasy Sports No. 1,Sam Bosma (Illustrations),535,2013,2,sports,4.01
The Fastest Game in the World: Hockey and the Globalization of Sports,Bruce Berglund,11,2020,5,sports,4.45
Periodization Training for Sports,"Tudor O. Bompa, 


Michael C. Carrera",322,1999,10,sports,4.21
The King of Sports: Football's Impact on America,Gregg Easterbrook (Goodreads Author),416,2012,4,sports,3.74
"Play by Play: Calling The Wildest Games In Sports – From SEC Football to College Basketball, The Masters and More",Verne Lundquist,173,2018,9,sports,3.92
Strong Inside: Perry Wallace and the Collision of Race and Sports in the South,Andrew Maraniss (Goodreads Author),267,2014,5,sports,4.2
The League: How Five Rivals Created the NFL and Launched a Sports Empire,John Eisenberg (Goodreads Author),447,2018,9,sports,4.16
Indentured: The Rebellion Against the College Sports Cartel,"Joe Nocera, 


Ben Strauss",416,2015,8,sports,3.95
The New Toughness Training for Sports: Mental Emotional Physical Conditioning from 1 World's Premier Sports Psychologis,"Jim Loehr (Goodreads Author) (Foreword), 


Dan Jansen (Foreword by), 


Chris Evert (Foreword by)",205,1994,3,sports,4.14
"Fox Tossing, Octopus Wrestling and Other Forgotten Sports",Edward Brooke-Hitching,305,2015,4,sports,3.41
The Best American Sports Writing of the Century,"David Halberstam (Editor), 


Glenn Stout (Goodreads Author) (Series Editor)",384,1994,8,sports,4.28
Out of Bounds (Brit Boys Sports #3),J.H. Croix (Goodreads Author),353,2017,4,sports,4.29
The John Carlos Story: The Sports Moment That Changed the World,"John Carlos, 


Dave Zirin, 


Cornel West",328,1994,9,sports,4.19
Kid Athletes: True Tales of Childhood from Sports Legends,"David Stabler (Goodreads Author), 


Doogie Horner (Illustrations)",290,2015,8,sports,4.25
Beer and Circus: How Big-Time College Sports Has Crippled Undergraduate Education,Murray A. Sperber,318,2000,5,sports,3.58
"A Shot at Gold (Sports, #2)",Nicole Pyland (Goodreads Author),349,2020,2,sports,4.37
"Welcome to the Terrordome: The Pain, Politics and Promise of Sports","Dave Zirin, 


Chuck D (Foreword by)",272,2007,5,sports,3.92
"Raw: My 100% Grade-A, Unfiltered, Inside Look at Sports",Colin Cowherd,362,2015,3,sports,3.71
Mental Combat: The Sports Psychology Secrets You Can Use to Dominate Any Event!,Phil Pierce (Goodreads Author),152,2015,4,sports,3.59
The Smart Money: How the World's Best Sports Bettors Beat the Bookies Out of Millions,Michael Konik (Goodreads Author),403,2005,10,sports,3.86
Players: The Story of Sports and Money and the Visionaries Who Fought to Create a Revolution,Matthew Futterman,291,2016,5,sports,3.8
Sports in America,James A. Michener,236,1976,12,sports,3.66
"Ways of Grace: Stories of Activism, Adversity, and How Sports Can Bring Us Together","James  Blake, 


Carol Taylor",105,2017,4,sports,3.45
